sep=;
Story Title;Estimate;Vote Started;Voting Duration;Avg Voting Time;Fastest;Slowest;
Reporte final de Testing;13;11/30/2021 6:41:05 PM;00:00:36;00:00:11;Lina Huertas;desiree;
Testing manual;21;11/30/2021 6:40:51 PM;00:00:10;00:00:05;Lina Huertas;desiree;
Testeo de Funcionalidades de la página Reserva con SeleniumDriver;13;11/30/2021 6:40:35 PM;00:00:13;00:00:07;Juan David Rojas Cañizales;Sergio Garcia;
Testeo de APIs con Postman;13;11/30/2021 6:40:14 PM;00:00:16;00:00:06;Sergio Garcia;Juan David Rojas Cañizales;
Despliegue de la infraestructura en aws a traves de terraform y jenkins;55;11/30/2021 6:39:57 PM;00:00:15;00:00:06;desiree;Sergio Garcia;
Crear URL para el front de la página;5;11/30/2021 6:39:31 PM;00:00:23;00:00:06;Sergio Garcia;desiree;
Componente de reserva;34;11/30/2021 6:38:49 PM;00:00:39;00:00:11;Juan David Rojas Cañizales;desiree;
Panel de reservas;55;11/30/2021 6:38:12 PM;00:00:30;00:00:14;Sergio Garcia;Lina Huertas;
Crear ruta /user/bookings;13;11/30/2021 6:37:54 PM;00:00:13;00:00:06;Juan David Rojas Cañizales;desiree;
Crear template de producto creado exitosamente;21;11/30/2021 6:37:41 PM;00:00:08;00:00:05;Juan David Rojas Cañizales;desiree;
Formulario;13;11/30/2021 6:37:22 PM;00:00:17;00:00:08;Lina Huertas;Juan David Rojas Cañizales;
Header;3;11/30/2021 6:36:51 PM;00:00:28;00:00:15;Sergio Garcia;desiree;
Crear ruta /administracion;8;11/30/2021 6:36:32 PM;00:00:17;00:00:07;Lina Huertas;Juan David Rojas Cañizales;
Validación de accesibilidad solo para usuarios de tipo admin;34;11/30/2021 6:36:17 PM;00:00:13;00:00:07;Lina Huertas;Juan David Rojas Cañizales;
Integrar clase de Score con atributo score de la clase producto;34;11/30/2021 6:35:56 PM;00:00:18;00:00:08;Juan David Rojas Cañizales;Sergio Garcia;
Crear clase de score de producto;13;11/30/2021 6:35:34 PM;00:00:19;00:00:12;Lina Huertas;Juan David Rojas Cañizales;
Validación del correo del usuario;13;11/30/2021 6:34:59 PM;00:00:19;00:00:09;Lina Huertas;Sergio Garcia;
Agregar atributo array a producto con nombre de políticas;13;11/30/2021 6:34:06 PM;00:00:51;00:00:17;Lina Huertas;desiree;
